Category,Parameter,F1,Precision,Recall,Measure
Martjushev ADWIN J,"(300.0, 700.0, 0.4, 10.0)",0.7746835443037975,0.9216867469879518,0.6681222707423581,15.0
Martjushev ADWIN J,"(300.0, 700.0, 0.4, 20.0)",0.7746835443037975,0.9216867469879518,0.6681222707423581,15.0
Martjushev ADWIN J,"(300.0, 700.0, 0.4, 50.0)",0.8202531645569621,0.9759036144578314,0.7074235807860262,15.0
Martjushev ADWIN J,"(400.0, 400.0, 0.4, 10.0)",0.7342465753424657,0.9852941176470588,0.5851528384279476,15.0
Martjushev ADWIN J,"(400.0, 400.0, 0.4, 20.0)",0.7342465753424657,0.9852941176470588,0.5851528384279476,15.0
Martjushev ADWIN J,"(400.0, 400.0, 0.4, 50.0)",0.7342465753424657,0.9852941176470588,0.5851528384279476,15.0
Martjushev ADWIN J,"(400.0, 500.0, 0.4, 10.0)",0.7989690721649485,0.9748427672955976,0.6768558951965066,15.0
Martjushev ADWIN J,"(400.0, 500.0, 0.4, 20.0)",0.7989690721649485,0.9748427672955976,0.6768558951965066,15.0
Martjushev ADWIN J,"(400.0, 500.0, 0.4, 50.0)",0.8071979434447301,0.98125,0.6855895196506551,15.0
Martjushev ADWIN J,"(400.0, 600.0, 0.4, 10.0)",0.7979539641943734,0.9629629629629628,0.6812227074235808,15.0
Martjushev ADWIN J,"(400.0, 600.0, 0.4, 20.0)",0.8081841432225064,0.9753086419753086,0.6899563318777293,15.0
Martjushev ADWIN J,"(400.0, 600.0, 0.4, 50.0)",0.8112244897959183,0.9754601226993864,0.6943231441048034,15.0
Martjushev ADWIN J,"(400.0, 700.0, 0.4, 10.0)",0.8161209068010076,0.9642857142857144,0.7074235807860262,15.0
Martjushev ADWIN J,"(400.0, 700.0, 0.4, 20.0)",0.8232323232323232,0.9760479041916168,0.7117903930131004,15.0
Martjushev ADWIN J,"(400.0, 700.0, 0.4, 50.0)",0.8202531645569621,0.9759036144578314,0.7074235807860262,15.0
ProDrift,"(50.0, 2.0)",0.2585551330798479,1.0,0.148471615720524,15.0
ProDrift,"(100.0, 2.0)",0.4368600682593856,1.0,0.2794759825327511,15.0
ProDrift,"(150.0, 2.0)",0.4579124579124579,1.0,0.296943231441048,15.0
ProDrift,"(200.0, 2.0)",0.4733333333333333,1.0,0.3100436681222707,15.0
ProDrift,"(250.0, 2.0)",0.4834437086092715,1.0,0.3187772925764192,15.0
ProDrift,"(300.0, 2.0)",0.5225806451612903,1.0,0.3537117903930131,15.0
Process Graph Metrics,"(100.0, 400.0, 0.0001)",0.7242339832869081,1.0,0.5676855895196506,15.0
Process Graph Metrics,"(100.0, 400.0, 0.005)",0.7320954907161804,0.9324324324324323,0.6026200873362445,15.0
Process Graph Metrics,"(100.0, 400.0, 0.05)",0.7560975609756098,0.856353591160221,0.6768558951965066,15.0
Process Graph Metrics,"(100.0, 400.0, 0.1)",0.7880184331797234,0.8341463414634146,0.7467248908296943,15.0
Process Graph Metrics,"(100.0, 500.0, 0.0001)",0.7506702412868632,0.9722222222222222,0.611353711790393,15.0
Process Graph Metrics,"(100.0, 500.0, 0.005)",0.772020725388601,0.9490445859872612,0.6506550218340611,15.0
Process Graph Metrics,"(100.0, 500.0, 0.05)",0.7549019607843137,0.8603351955307262,0.6724890829694323,15.0
Process Graph Metrics,"(100.0, 500.0, 0.1)",0.7637231503579952,0.8421052631578947,0.6986899563318777,15.0
Process Graph Metrics,"(100.0, 600.0, 0.0001)",0.7296587926509186,0.9144736842105264,0.6069868995633187,15.0
Process Graph Metrics,"(100.0, 600.0, 0.005)",0.7626262626262627,0.9041916167664672,0.6593886462882096,15.0
Process Graph Metrics,"(100.0, 600.0, 0.05)",0.7621359223300971,0.8579234972677595,0.6855895196506551,15.0
Process Graph Metrics,"(100.0, 600.0, 0.1)",0.7559808612440191,0.8359788359788359,0.6899563318777293,15.0
Process Graph Metrics,"(100.0, 700.0, 0.0001)",0.787878787878788,0.934131736526946,0.6812227074235808,15.0
Process Graph Metrics,"(100.0, 700.0, 0.005)",0.8240963855421686,0.9193548387096774,0.7467248908296943,15.0
