,collection,noise_level,log_name,trace_length,event_class_size,unique_traces,log_size
279,input,train,log_6_1708942458.xes,16.193655303030305,11.0,1513.0,2112.0
280,input,train,log_597_1708942459.xes,4.5080505325736935,7.0,49.0,4037.0
281,input,train,log_8_1708942460.xes,4.927486712224753,6.0,881.0,2634.0
282,input,train,log_2023_1708942460.xes,7.2994652406417115,12.0,745.0,2244.0
283,input,train,log_1851_1708942457.xes,5.6984916009598905,6.0,2544.0,5834.0
284,input,train,log_2691_1708942451.xes,12.018639588259841,11.0,2965.0,7189.0
285,input,train,log_3535_1708942458.xes,4.007028112449799,6.0,1404.0,6972.0
286,input,train,log_422_1708942451.xes,11.711662904439429,12.0,3451.0,6645.0
287,input,train,log_3449_1708942460.xes,3.4327248140635565,13.0,241.0,4437.0
288,input,train,log_1267_1708942459.xes,7.586425626387568,12.0,1659.0,3153.0
289,input,train,log_9_1708942461.xes,10.934990439770555,10.0,141.0,1046.0
290,input,train,log_3867_1708942451.xes,11.732153569286142,14.0,3447.0,6668.0
291,input,train,log_1770_1708942458.xes,4.187087816730302,10.0,1744.0,5762.0
292,input,train,log_1017_1708942461.xes,3.6455981941309257,10.0,13.0,3101.0
293,input,train,log_3366_1708942458.xes,9.203922789539227,12.0,703.0,3212.0
294,input,train,log_1182_1708942459.xes,7.86528,10.0,1289.0,3125.0
295,input,train,log_510_1708942459.xes,3.066953868246275,7.0,1060.0,5571.0
296,input,train,log_2947_1708942460.xes,3.329742208541747,6.0,909.0,5198.0
297,input,train,log_2022_1708942458.xes,11.61388140161725,13.0,1232.0,2968.0
298,input,train,log_1016_1708942459.xes,5.662364600138281,7.0,1402.0,4339.0
299,input,train,log_1348_1708942456.xes,7.190400424290639,8.0,3016.0,7542.0
300,input,train,log_1349_1708942460.xes,3.1566607460035523,7.0,794.0,5630.0
301,input,train,log_4540_1708942460.xes,6.9952221691352126,8.0,1644.0,4186.0
302,input,train,log_339_1708942454.xes,8.621680216802169,12.0,2761.0,7380.0
303,input,train,log_2862_1708942460.xes,3.1620833333333334,8.0,25.0,4800.0
304,input,train,log_683_1708942459.xes,6.1264948179643905,12.0,1284.0,3763.0
305,input,train,log_1853_1708942461.xes,2.5593356549691935,13.0,924.0,3733.0
306,input,train,log_4960_1708942460.xes,4.6092715231788075,13.0,924.0,4077.0
307,input,train,log_2949_1708942461.xes,1.3141680100304496,11.0,99.0,5583.0
308,input,train,log_2948_1708942461.xes,3.567736883320282,5.0,13.0,3831.0
309,input,train,log_2359_1708942457.xes,9.076003608479928,13.0,1966.0,4434.0
310,input,train,log_2694_1708942462.xes,2.794362125045175,5.0,5.0,2767.0
311,input,train,log_2780_1708942459.xes,8.140914709517924,8.0,223.0,3236.0
312,input,train,log_2443_1708942455.xes,6.689879420132773,8.0,5.0,7381.0
313,input,train,log_4709_1708942457.xes,11.504655975168133,11.0,2509.0,3866.0
314,input,train,log_1937_1708942456.xes,6.0,7.0,14.0,6932.0
315,input,train,log_931_1708942459.xes,4.754543677936291,6.0,798.0,5117.0
316,input,train,log_2273_1708942458.xes,5.961998592540464,8.0,5.0,5684.0
317,input,train,log_3618_1708942459.xes,6.0176005747126435,6.0,1573.0,5568.0
318,input,train,log_4958_1708942450.xes,14.964641885766092,14.0,3173.0,5515.0
319,input,train,log_1183_1708942461.xes,2.5433101314771847,12.0,70.0,5172.0
320,input,train,log_2946_1708942456.xes,8.149662564509725,9.0,76.0,7557.0
321,input,train,log_847_1708942461.xes,5.998001332445036,7.0,1395.0,3002.0
322,input,train,log_1852_1708942459.xes,6.0035547656076425,7.0,1602.0,4501.0
323,input,train,log_2693_1708942458.xes,3.2665999749906214,8.0,909.0,7997.0
324,input,train,log_1519_1708942461.xes,2.0959527824620574,8.0,7.0,5930.0
325,input,train,log_4455_1708942455.xes,16.638035681441973,13.0,4918.0,5437.0
326,input,train,log_4795_1708942462.xes,3.4960850111856825,5.0,2.0,3576.0
327,input,train,log_2274_1708942460.xes,7.730202944687624,12.0,511.0,2513.0
328,input,train,log_2779_1708942454.xes,19.069475446428573,13.0,3237.0,3584.0
329,input,train,log_3030_1708942458.xes,7.024671579621916,8.0,115.0,6242.0
330,input,train,log_3446_1708942452.xes,14.11431773606052,14.0,4628.0,7138.0
331,input,train,log_2858_1708942449.xes,13.621422499291585,12.0,5223.0,7058.0
332,input,train,log_1184_1708942462.xes,3.3049844236760126,12.0,571.0,3210.0
333,input,train,log_91_1708942459.xes,8.059178204555606,13.0,530.0,4478.0
334,input,train,log_4539_1708942457.xes,10.354896496815286,11.0,2235.0,5024.0
335,input,train,log_2527_1708942460.xes,4.156018099547511,14.0,372.0,5525.0
336,input,train,log_1938_1708942460.xes,3.4706853839801814,12.0,41.0,7266.0
337,input,train,log_2360_1708942460.xes,8.033524121013901,9.0,2.0,3669.0
338,input,train,log_1687_1708942459.xes,4.967145476772616,6.0,1877.0,6544.0
339,input,train,log_3282_1708942461.xes,4.3744833287407,8.0,742.0,3629.0
340,input,train,log_4286_1708942453.xes,12.329186602870813,14.0,2792.0,6270.0
341,input,train,log_3782_1708942452.xes,12.38525397495427,13.0,4287.0,7107.0
342,input,train,log_4961_1708942462.xes,5.53126244524094,12.0,1268.0,2511.0
343,input,train,log_4710_1708942460.xes,7.0,7.0,24.0,5709.0
344,input,train,log_1518_1708942458.xes,7.233375156838143,13.0,2286.0,6376.0
